ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2004-07-30,13.792999172727377,11.534971402755378,17.58889686326974,13.792999172727377,13.792999172727377,0.7269824603652077,0.7269824603652077,0.7269824603652077,0.6442113408376964,0.6442113408376964,0.6442113408376964,0.08277111952751141,0.08277111952751141,0.08277111952751141,0.0,0.0,0.0,14.519981633092584
2004-08-02,13.776914276782408,11.252667330020993,17.59554373795339,13.776914276782408,13.776914276782408,0.7325540741831358,0.7325540741831358,0.7325540741831358,0.6113980908382709,0.6113980908382709,0.6113980908382709,0.12115598334486492,0.12115598334486492,0.12115598334486492,0.0,0.0,0.0,14.509468350965545
2004-08-03,13.771552644800753,11.705078576576652,17.736114233493204,13.771552644800753,13.771552644800753,0.7399806028453331,0.7399806028453331,0.7399806028453331,0.6084948208283749,0.6084948208283749,0.6084948208283749,0.13148578201695826,0.13148578201695826,0.13148578201695826,0.0,0.0,0.0,14.511533247646087
2004-08-04,13.766191012819096,11.552377421313395,17.577384033078687,13.766191012819096,13.766191012819096,0.7706022676545751,0.7706022676545751,0.7706022676545751,0.6303748478267499,0.6303748478267499,0.6303748478267499,0.14022741982782513,0.14022741982782513,0.14022741982782513,0.0,0.0,0.0,14.53679328047367
2004-08-05,13.760829380837441,11.69927059179012,17.657096122240368,13.760829380837441,13.760829380837441,0.7709232413791309,0.7709232413791309,0.7709232413791309,0.6237206475635584,0.6237206475635584,0.6237206475635584,0.1472025938155725,0.1472025938155725,0.1472025938155725,0.0,0.0,0.0,14.531752622216572
2004-08-06,13.755467748855784,11.799266669434259,17.82296293284704,13.755467748855784,13.755467748855784,0.7964731499830416,0.7964731499830416,0.7964731499830416,0.6442113408361627,0.6442113408361627,0.6442113408361627,0.1522618091468789,0.1522618091468789,0.1522618091468789,0.0,0.0,0.0,14.551940898838826
2004-08-09,13.739382852910817,11.526096297418475,17.61571540212293,13.739382852910817,13.739382852910817,0.7663360926349755,0.7663360926349755,0.7663360926349755,0.6113980908398114,0.6113980908398114,0.6113980908398114,0.15493800179516393,0.15493800179516393,0.15493800179516393,0.0,0.0,0.0,14.505718945545793
2004-08-10,13.73402122092916,11.413729387603098,17.43339383991288,13.73402122092916,13.73402122092916,0.7599972258648758,0.7599972258648758,0.7599972258648758,0.6084948208277461,0.6084948208277461,0.6084948208277461,0.1515024050371297,0.1515024050371297,0.1515024050371297,0.0,0.0,0.0,14.494018446794035
2004-08-11,13.728659588947504,11.496134710120588,17.84777869156363,13.728659588947504,13.728659588947504,0.7762868905349795,0.7762868905349795,0.7762868905349795,0.6303748478267673,0.6303748478267673,0.6303748478267673,0.14591204270821206,0.14591204270821206,0.14591204270821206,0.0,0.0,0.0,14.504946479482484
2004-08-12,13.723297956965848,11.524995699051448,17.480122588593026,13.723297956965848,13.723297956965848,0.7619454494535529,0.7619454494535529,0.7619454494535529,0.6237206475630077,0.6237206475630077,0.6237206475630077,0.1382248018905451,0.1382248018905451,0.1382248018905451,0.0,0.0,0.0,14.4852434064194
